Point X,Point Y,Street Address,City,Postal Code,Planting Site Width,Planting Site Length,Planting Site Id,Custom Id,Updated At,Updated By,Tree Id,Tree Present,Genus,Species,Cultivar,Other Part Of Name,Common Name,Diameter,Tree Height,Canopy Height,Date Planted,Date Removed,Tree: Canopy Condition,Tree: Stewardship,Tree: Tree Condition,Planting Site: Plot Type,Planting Site: Powerlines Overhead,Planting Site: Sidewalk Damage,Planting Site: Stewardship
-75.1525793696,39.9494966832,707 Chestnut St,Philadelphia,19106,,,369248,,2014-09-29T22:20:08.264602+00:00,ptmadmin,281216,True,Ulmus,americana,,,American elm,,,,,,,,,,,,
-75.1467075102,39.9502445253,330 Market St,Philadelphia,19106,,,369842,,2014-09-29T22:20:21.813363+00:00,ptmadmin,281800,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1459314997,39.9554839157,315-399 New Street,Philadelphia,19106,,,368251,,2014-09-29T22:19:43.059486+00:00,ptmadmin,280164,True,Ginkgo,biloba,,,Ginkgo,,,,,,,,,,,,
-75.1465076574,39.9487530421,315 Chestnut Street,Philadelphia,19106,,,369771,,2014-09-29T22:20:20.560533+00:00,ptmadmin,281746,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1456096328,39.950229832,1-3 North 3rd Street,Philadelphia,19106,,,369873,,2014-09-29T22:20:23.001180+00:00,ptmadmin,281850,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1518533926,39.9511795613,1-25 North 7th Street,Philadelphia,19106,,,369684,,2014-09-29T22:20:18.436549+00:00,ptmadmin,281652,True,Quercus,acutissima,,,Sawtooth oak,,,,,,,,,,,,
-75.1517682817,39.9515916921,,Philadelphia,19106,,,369689,,2014-09-29T22:20:18.548100+00:00,ptmadmin,281657,True,Quercus,acutissima,,,Sawtooth oak,,,,,,,,,,,,
-75.1477197901,39.9502848392,400 Market Street,Philadelphia,19106,,,369832,,2014-09-29T22:20:21.697935+00:00,ptmadmin,281795,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1468178698,39.9502470297,330 Market St,Philadelphia,19106,,,365236,,2014-09-29T22:20:21.789762+00:00,ptmadmin,281799,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1487515076,39.9509319466,,Philadelphia,19106,,,370051,,2014-09-29T22:20:27.348115+00:00,ptmadmin,282041,True,Liquidambar,styraciflua,,,Sweetgum,,,,,,,,,,,,
-75.1457793718,39.9496126693,15 South 3rd Street,Philadelphia,19106,,,370136,,2014-09-29T22:20:29.074893+00:00,ptmadmin,282116,True,Acer,rubrum,,,Red maple,,,,,,,,,,,,
-75.1435331351,39.9473272477,100-198 Sansom St,Philadelphia,19106,,,370257,,2014-09-29T22:20:32.176449+00:00,ptmadmin,282247,True,Ginkgo,biloba,,,Ginkgo,,,,,,,,,,,,
-75.1535002363,39.9496085535,,Philadelphia,19106,,,369283,,2014-09-29T22:20:08.377860+00:00,ptmadmin,281221,True,Sophora,japonica,,,Japanese pagoda tree,,,,,,,,,,,,
-75.1510976913,39.9509337133,,Philadelphia,19106,,,369717,,2014-09-29T22:20:19.212397+00:00,ptmadmin,281686,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1519185502,39.9493283103,660 Chestnut Street,Philadelphia,19106,,,369766,,2014-09-29T22:20:19.956083+00:00,ptmadmin,281719,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
